Proposal,question,taxonomy
1046017,metabolism,Archaea
1046017,metabolism,Chromista
1046372,metabolism,Arthropoda
1046372,metabolism,Bacteria
1136345,metabolism,Cyanobacteria
1136345,metabolism,Chlorobionta
1136345,metabolism,Chromista
1136345,metabolism,Oomycota
1136727,metabolism,Bacteria
1136727,metabolism,Proteobacteria
1241221,metabolism,Viruses
1241221,metabolism,Cyanobacteria
1241221,metabolism,Proteobacteria
1241221,metabolism,Chromista
1342872,metabolism,Bacteria
1342872,metabolism,Proteobacteria
1342872,metabolism,Cyanobacteria
1342872,metabolism,Ascomycota
1342872,metabolism,Basidiomycota
1342872,metabolism,Glomeromycota
1342872,metabolism,Mucoromycota
1342872,metabolism,Zygomycota
1342872,metabolism,Gymnosperms
1342872,metabolism,Angiosperms
1442199,metabolism,Angiosperms
1442246,metabolism,Acidobacteria
1442246,metabolism,Actinobacteria
1442246,metabolism,Bacteriodetes
1442246,metabolism,Firmicutes
1442246,metabolism,Gemmatimonadetes
1442246,metabolism,Verrucomicrobia
1442246,metabolism,Angiosperms
1442246,metabolism,Gymnosperms
1542240,metabolism,Proteobacteria
1542240,metabolism,Chloroflexi
1542240,metabolism,Bacteriodetes
1542506,metabolism,Archaea
1542506,metabolism,Bacteria
1542506,metabolism,Firmicutes
1542506,metabolism,Proteobacteria
1542506,metabolism,Bacteriodetes
1542609,metabolism,Cyanobacteria
1542609,metabolism,Proteobacteria
1542609,metabolism,Bryophyta
1638296,metabolism,Cyanobacteria
1638296,metabolism,Chromista
1638296,metabolism,Chlorobionta
1639033,metabolism,Cyanobacteria
1639033,metabolism,Chlorobionta
1639033,metabolism,Chromista
1737898,metabolism,Proteobacteria
1737898,metabolism,Chlorobionta
1737898,metabolism,Chromista
1737898,metabolism,Glomeromycota
1737898,metabolism,Mucoromycota
1737898,metabolism,Zygomycota
1737898,metabolism,Bryophyta
1737898,metabolism,Gymnosperms
1737898,metabolism,Angiosperms
1738041,metabolism,Bacteria
1738041,metabolism,Fungi
1738041,metabolism,Angiosperms
1046017,nutrient cycling,Archaea
1046017,nutrient cycling,Chromista
1046121,nutrient cycling,Chlorobionta
1046297,nutrient cycling,Cyanobacteria
1046297,nutrient cycling,Proteobacteria
1046297,nutrient cycling,Chromista
1136484,nutrient cycling,Archaea
1136484,nutrient cycling,Bacteria
1136818,nutrient cycling,Viruses
1136818,nutrient cycling,Archaea
1136818,nutrient cycling,Bacteria
1136818,nutrient cycling,Cyanobacteria
1136818,nutrient cycling,Chromista
1136818,nutrient cycling,Chlorobionta
1240851,nutrient cycling,Bacteria
1240851,nutrient cycling,Cyanobacteria
1241094,nutrient cycling,Archaea
1241094,nutrient cycling,Bacteria
1241094,nutrient cycling,Proteobacteria
1342694,nutrient cycling,Proteobacteria
1342701,nutrient cycling,Bacteria
1442214,nutrient cycling,Archaea
1442214,nutrient cycling,Proteobacteria
1442214,nutrient cycling,Verrucomicrobia
